Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
21/02/1959,1958,1,Genclerbirligi,Adalet,0-1,1-1,2,0,D,0,0
21/02/1959,1958,1,Izmirspor,Beykoz 1908,2-0,2-1,3,1,H,0,0
21/02/1959,1958,1,Ankara Demirspor,Galatasaray,0-1,0-2,2,-2,A,0,0
21/02/1959,1958,1,Fenerbahce,MKE Ankaragucu,1-1,3-1,4,2,H,0,0
21/02/1959,1958,1,Altay,Besiktas,0-1,1-2,3,-1,A,0,0
21/02/1959,1958,1,Istanbulspor,Ankara Keciorengucu,0-0,0-2,2,-2,A,0,0
22/02/1959,1958,1,Altay,Beykoz 1908,0-1,2-2,4,0,D,0,0
22/02/1959,1958,1,Istanbulspor,MKE Ankaragucu,0-0,1-1,2,0,D,0,0
22/02/1959,1958,1,Fenerbahce,Ankara Keciorengucu,1-0,2-1,3,1,H,0,0
22/02/1959,1958,1,Genclerbirligi,Galatasaray,0-0,0-0,0,0,D,0,0
22/02/1959,1958,1,Ankara Demirspor,Adalet,2-0,2-0,2,2,H,0,0
22/02/1959,1958,1,Izmirspor,Besiktas,0-1,1-1,2,0,D,0,0
25/02/1959,1958,2,Beykoz 1908,Besiktas,0-0,1-0,1,1,H,0,0
25/02/1959,1958,2,Vefa,Fatih Karagumruk,0-0,1-0,1,1,H,0,0
28/02/1959,1958,2,Adalet,Goztepe,0-0,0-0,0,0,D,0,0
28/02/1959,1958,2,Izmirspor,Istanbulspor,0-0,2-0,2,2,H,0,0
28/02/1959,1958,2,Altay,Fenerbahce,0-1,0-1,1,-1,A,0,0
28/02/1959,1958,2,Galatasaray,Karsiyaka,1-0,1-1,2,0,D,0,0
01/03/1959,1958,2,Adalet,Karsiyaka,0-0,0-0,0,0,D,0,0
01/03/1959,1958,2,Altay,Istanbulspor,0-0,2-0,2,2,H,0,0
01/03/1959,1958,2,Izmirspor,Fenerbahce,0-0,0-0,0,0,D,0,0
01/03/1959,1958,2,Galatasaray,Goztepe,0-0,0-0,0,0,D,0,0
07/03/1959,1958,3,Genclerbirligi,Vefa,0-2,0-3,3,-3,A,0,0
07/03/1959,1958,3,Besiktas,Ankara Keciorengucu,2-1,3-2,5,1,H,0,0
07/03/1959,1958,3,Ankara Demirspor,Fatih Karagumruk,0-0,0-0,0,0,D,0,0
07/03/1959,1958,3,Beykoz 1908,MKE Ankaragucu,1-1,3-1,4,2,H,0,0
08/03/1959,1958,3,Besiktas,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
08/03/1959,1958,3,Altay,Izmirspor,0-1,1-1,2,0,D,0,0
08/03/1959,1958,3,Genclerbirligi,Fatih Karagumruk,0-1,0-1,1,-1,A,0,0
08/03/1959,1958,3,Goztepe,Karsiyaka,2-0,3-2,5,1,H,0,1
08/03/1959,1958,3,Beykoz 1908,Ankara Keciorengucu,0-0,0-1,1,-1,A,0,0
08/03/1959,1958,3,Ankara Demirspor,Vefa,0-0,1-1,2,0,D,0,0
11/03/1959,1958,4,Vefa,Galatasaray,0-0,0-0,0,0,D,0,0
11/03/1959,1958,4,Istanbulspor,Beykoz 1908,1-0,2-0,2,2,H,0,0
14/03/1959,1958,4,Besiktas,Istanbulspor,1-0,2-1,3,1,H,0,0
14/03/1959,1958,4,Ankara Demirspor,Karsiyaka,1-0,1-0,1,1,H,0,0
14/03/1959,1958,4,Genclerbirligi,Goztepe,2-2,2-2,4,0,D,0,0
14/03/1959,1958,4,Altay,Ankara Keciorengucu,0-0,1-0,1,1,H,0,0
